CAT-RADIO-00026,415279.043,573051.4,71.018,F
CAT-RADIO-00027,415278.953,573048.171,71.04,F
CAT-RADIO-00028,415279.572,573045.118,71.011,F
TR204-00029,415382.374,573118.52,70.668,F S
TR204-00030,415407,573122.716,70.512,F
TR203-00032,415421.69,573154.634,70.165,F S
TR203-00033,415446.059,573160.281,69.905,F
TR181-00034,415408.94,573205.951,70.195,F S
TR181-00035,415384.521,573211.247,70.319,F
TR180-00036,415402.232,573229.938,70.031,F S
TR180-00037,415384.075,573247.111,70.059,F
TR182-00038,415339.439,573224.287,70.488,F S
TR182-00039,415354.88,573204.669,70.575,F
TR183-00040,415348.867,573179.216,70.72,F S
TR183-00041,415350.401,573154.293,70.753,F
TR184-00042,415292.123,573129.93,71.016,F S
TR184-00043,415316.589,573135.032,70.945,F
TR185-00044,415296.607,573169.397,70.953,F S
TR185-00045,415273.235,573160.489,70.912,F
TR186-00046,415238.852,573130.921,70.694,F S
TR186-00047,415231.226,573154.799,70.659,F
TR175-00048,415193.611,573198.817,70.805,F S
TR175-00049,415183.338,573221.682,70.723,F
TR176-00050,415210.489,573217.126,70.542,F S
TR176-00051,415221.944,573239.641,70.486,F
TR177-00052,415267.263,573211.797,70.616,F S
TR177-00053,415263.716,573236.532,70.435,F
TR178-00054,415258.928,573267.17,70.318,F S
TR178-00055,415283.929,573267.139,70.089,F
TR179-00056,415335.758,573266.847,70.072,F S
TR179-00057,415347.184,573289.055,69.756,F
CAT-RADIO-00058,415206.625,573234.542,70.423,F S
CAT-RADIO-00059,415208.663,573231.471,70.477,F
CAT-RADIO-00060,415209.241,573227.89,70.512,F
CAT-RADIO-00061,415211.065,573224.143,70.531,F
CAT-RADIO-00062,415213.142,573222.259,70.586,F
CAT-RADIO-00063,415214.226,573218.353,70.566,F
CAT-RADIO-00064,415216.759,573214.104,70.575,F
OVERHEAD-00065,415262.646,573306.763,69.527,P
TR162-00066,415250.85,573318.924,69.839,F S
TR162-00067,415267.536,573337.668,69.497,F
TR161-00068,415222.197,573305.31,70.571,F S
TR161-00069,415204.031,573322.492,70.633,F
TR163-00070,415209.908,573298.301,70.591,F S
TR163-00071,415185.905,573305.585,70.719,F
TR151-00072,415165.435,573343.482,70.812,F S
TR151-00073,415150.432,573323.457,70.836,F
TR160-00074,415158.193,573301.189,70.726,F S
TR160-00075,415158.25,573276.178,70.733,F
TR259A-00076,415530.502,572905.853,70.463,F S
TR259A-00077,415507.764,572895.028,70.559,F
TR259B-00078,415523.482,572912.139,70.598,F S
TR259B-00079,415545.356,572924.482,70.436,F
TR211-00080,415091.118,572946.057,71.091,F S
TR211-00081,415071.204,572961.148,71.059,F
TR209-00082,415125.302,572974.903,71.065,F S
TR209-00083,415149.847,572970.402,71.019,F
TR207-00084,415211.242,573000.472,70.898,F S
TR207-00085,415231.308,573015.307,70.866,F
TR202-00086,415228.007,573066.782,70.837,F S
TR202-00087,415223.389,573091.363,70.858,F
TR201-00088,415202.889,573062.758,70.847,F S
TR201-00089,415178.334,573057.848,70.918,F
TR200-00090,415172.192,573020.274,70.984,F S
TR200-00091,415152.791,573036.068,70.975,F
TR199-00092,415102.464,573012.372,70.939,F S
TR199-00093,415082.874,572996.648,70.995,F
TR198-00094,415034.958,572977.486,71.04,F S
TR198-00095,415034.987,573002.542,71.096,F
TR196-00096,414997.536,573002.152,71.219,F S
TR196-00098,414976.246,572988.839,71.149,F
TR197-00099,415004.199,572953.467,71.254,F S
TR197-00100,415024.734,572939.175,71.232,F
TR212-00101,415047.264,572925.055,71.192,F S
TR212-00102,415032.067,572905.224,71.366,F
TR170-01137,414976.276,573091.654,71.46,F S
TR170-01138,414988.472,573069.78,71.347,F
TR195-01139,414985.93,573028.629,71.406,F S
TR195-01140,415009.238,573037.637,71.193,F
TR194-01141,415040.002,573072.807,71.457,F S
TR194-01142,415063.443,573064.155,71.622,F
TR190-01143,415066.515,573108.511,71.483,F S
TR190-01144,415088.889,573119.643,71.569,F
TR191-01145,415080.354,573083.473,71.489,F S
TR191-01146,415120.966,573112.571,71.63,F
TR192-01147,415101.834,573091.08,71.575,F S
TR192-01148,415122.914,573077.549,71.699,F
TR193-01149,415095.616,573063.238,71.761,F S
TR193-01150,415120.57,573061.699,71.6,F
CAT-RADIO-01151,415123.296,573063.65,71.57,F S
CAT-RADIO-01152,415118.567,573062.524,71.645,F
CAT-RADIO-01153,415112.171,573060.41,71.569,F
CAT-RADIO-01154,415105.914,573060.524,71.741,F
CAT-RADIO-01155,415101.031,573061.827,71.778,F
CAT-RADIO-01156,415093.905,573063.825,71.776,F
TR189-01157,415146.007,573111.712,71.577,F S
TR189-01158,415158.561,573090.014,71.328,F
CAT-RADIO-01159,415161.464,573092.784,71.383,F S
CAT-RADIO-01160,415157.917,573090.885,71.288,F
CAT-RADIO-01161,415153.567,573087.808,71.197,F
CAT-RADIO-01162,415145.704,573103.575,71.558,F S
CAT-RADIO-01163,415149.972,573103.653,71.458,F
CAT-RADIO-01164,415155.006,573103.955,71.374,F
TR188-01165,415187.124,573089.816,71.277,F S
TR188-01166,415206.674,573105.268,71.156,F
TR187-01167,415205.821,573135.787,70.975,F S
TR187-01168,415191.671,573156.374,70.979,F
TR173-01169,415176.48,573144.463,71.344,F S
TR173-01170,415151.462,573187.806,71.24,F
CAT-RADIO-01171,415163.128,573157.553,71.51,F S
CAT-RADIO-01172,415167.023,573159.986,71.416,F
CAT-RADIO-01173,415172.542,573162.069,71.245,F
CAT-RADIO-01174,415179.738,573148.98,71.294,F S
CAT-RADIO-01175,415175.307,573147.548,71.368,F
CAT-RADIO-01176,415170.336,573145.557,71.403,F
TR154-01177,415036.79,573240.623,70.998,F S
TR154-01178,415036.79,573265.587,71.033,F
TR153-01179,415057.911,573287.543,70.963,F S
TR153-01180,415082.308,573282.06,70.95,F
TR152-01181,415101.12,573309.077,70.899,F S
TR152-01182,415125.735,573304.5,70.883,F
TR164-01183,415130.179,573263.151,70.928,F S
TR164-01184,415143.844,573242.12,70.961,F
TR174-01185,415154.218,573203.837,70.859,F S
TR174-01186,415177.245,573193.854,70.892,F
TR159-01187,415104.39,573252.89,70.942,F S
TR159-01188,415082.26,573241.407,70.944,F
TR158-01189,415059.64,573223.541,70.947,F S
TR158-01190,415081.957,573212.179,70.887,F
TR165-01191,415086.381,573164.782,71.158,F S
TR165-01192,415109.566,573175.201,71.291,F
TR172-01193,415143.722,573179.557,71.319,F S
TR172-01194,415054.473,573134.359,71.376,F
TR166-01195,415038.477,573151.944,71.306,F S
TR166-01196,415022.398,573132.648,71.314,F
TR171-01197,415018.035,573130.403,71.386,F S
TR171-01198,415029.895,573108.413,71.377,F
TR167-01199,414994.081,573111.032,71.515,F S
TR167-01200,414981.026,573132.669,71.158,F
TR168-01201,414921.039,573106.78,71.652,F S
TR168-01202,414916.136,573081.811,71.751,F
TR169-01203,414919.556,573061.83,71.687,F S
TR169-01204,414932.304,573040.241,71.588,F
C219005-01205,415317.27,573043.003,69.683,F S
C219005-01206,415317.433,573043.101,69.679,F
C219005-01207,415317.626,573043.214,69.678,F
C219005-01208,415317.806,573043.311,69.707,F
C219005-01209,415318,573043.438,69.727,F
C219005-01210,415318.169,573043.533,69.741,F
C219005-01211,415318.345,573043.645,69.807,F
C219005-01212,415318.527,573043.752,69.849,F
C219005-01213,415318.802,573043.917,69.939,F
C219005-01214,415319.09,573044.067,70.037,F
C219005-01215,415319.4,573044.267,70.109,F
C219005-01216,415319.2,573044.44,70.128,F S
C219005-01217,415319.042,573044.361,70.053,F
C219005-01218,415318.891,573044.272,70.065,F
C219005-01219,415318.708,573044.216,70.029,F
C219005-01220,415318.539,573044.129,69.974,F
C219005-01221,415318.415,573044.043,69.909,F
C219005-01222,415318.207,573043.864,69.849,F
C219005-01223,415318.033,573043.795,69.778,F
C219005-01224,415317.828,573043.666,69.733,F
B219005-01225,415318.472,573043.806,69.486,F S
B219005-01226,415318.58,573043.861,69.485,F
B219005-01227,415318.682,573043.922,69.514,F
B219005-01228,415318.759,573044.007,69.486,F
